Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
"",All Day Menu,,,,,,,,5293.0,10.19,,53929.12,0.0,9.75,328.33,53919.37,5386.75,0.0,0.0
"",All Day Menu,Starters,,,,,,,217.0,8.76,,1901.25,0.0,0.0,27.65,1901.25,190.70,0.0,0.0
menuItem,All Day Menu,Starters,Toasted Ravioli,,,Food,[],false,25.0,9.95,9.95,248.75,0.0,0.0,0.0,248.75,25.0,0.0,0.0
menuItem,All Day Menu,Starters,Toasted Ravioli,,,Starters,[],false,32.0,9.95,9.95,318.4,0.0,0.0,0.0,318.4,31.99,0.0,0.0
menuItem,All Day Menu,Starters,Mushroom Bites,,,Food,[],false,20.0,7.75,7.75,155.0,0.0,0.0,7.75,155.0,15.6,0.0,0.0
menuItem,All Day Menu,Starters,Mushroom Bites,,,Starters,[],false,39.0,7.75,7.75,302.25,0.0,0.0,0.0,302.25,30.42,0.0,0.0
menuItem,All Day Menu,Starters,Garlic Cheese Curds,,,Food,[],false,22.0,7.25,7.25,159.5,0.0,0.0,0.0,159.5,15.84,0.0,0.0
menuItem,All Day Menu,Starters,Garlic Cheese Curds,,,Starters,[],false,26.0,7.25,7.25,188.5,0.0,0.0,0.0,188.5,18.72,0.0,0.0
menuItem,All Day Menu,Starters,Bacon Cheese Fries,,,Food,[],false,18.0,9.95,9.95,179.1,0.0,0.0,9.95,179.1,17.99,0.0,0.0
menuItem,All Day Menu,Starters,Bacon Cheese Fries,,,Starters,[],false,35.0,9.99,9.95,349.75,0.0,0.0,9.95,349.75,35.14,0.0,0.0
"",All Day Menu,Salads,,,,,,,795.0,11.32,,9002.25,0.0,0.0,32.5,9002.25,900.98,0.0,0.0
menuItem,All Day Menu,Salads,Garden Salad,,,Food,[],false,7.0,7.46,6.75,52.25,0.0,0.0,0.0,52.25,5.26,0.0,0.0
menuItem,All Day Menu,Salads,Garden Salad,,,Salads,[],false,22.0,7.40,6.75,162.75,0.0,0.0,0.0,162.75,16.34,0.0,0.0
menuItem,All Day Menu,Salads,Grilled Chicken Salad,,,Food,[],false,22.0,10.05,9.75,221.0,0.0,0.0,0.0,221.0,22.2,0.0,0.0
menuItem,All Day Menu,Salads,Grilled Chicken Salad,,,Salads,[],false,37.0,10.29,9.75,380.75,0.0,0.0,0.0,380.75,38.22,0.0,0.0
menuItem,All Day Menu,Salads,Chef Salad,,,Food,[],false,115.0,11.10,10.50,1277.0,0.0,0.0,0.0,1277.0,127.1,0.0,0.0
menuItem,All Day Menu,Salads,Chef Salad,,,Salads,[],false,132.0,10.81,10.50,1426.5,0.0,0.0,21.0,1426.5,141.58,0.0,0.0
menuItem,All Day Menu,Salads,Greek Salad,,,Food,[],false,13.0,10.75,10.50,139.75,0.0,0.0,0.0,139.75,13.9,0.0,0.0
menuItem,All Day Menu,Salads,Greek Salad,,,Salads,[],false,28.0,10.87,10.50,304.25,0.0,0.0,0.0,304.25,30.2,0.0,0.0
menuItem,All Day Menu,Salads,Mediterranean Chicken Salad,,,Food,[],false,88.0,11.80,11.50,1038.75,0.0,0.0,0.0,1038.75,104.48,0.0,0.0
menuItem,All Day Menu,Salads,Mediterranean Chicken Salad,,,Salads,[],false,105.0,11.87,11.50,1246.75,0.0,0.0,11.5,1246.75,125.34,0.0,0.0
menuItem,All Day Menu,Salads,Steak Salad,,,Food,[],false,46.0,12.14,11.50,558.25,0.0,0.0,0.0,558.25,56.12,0.0,0.0
menuItem,All Day Menu,Salads,Steak Salad,,,Salads,[],false,68.0,11.94,11.50,811.75,0.0,0.0,0.0,811.75,81.68,0.0,0.0
menuItem,All Day Menu,Salads,Crispy Chicken Salad,,,Food,[],false,50.0,12.01,11.50,600.5,0.0,0.0,0.0,600.5,60.28,0.0,0.0
menuItem,All Day Menu,Salads,Crispy Chicken Salad,,,Salads,[],false,48.0,11.84,11.50,568.5,0.0,0.0,0.0,568.5,57.0,0.0,0.0
menuItem,All Day Menu,Salads,Marko Salad,,,Food,[],false,6.0,15.25,15.25,91.5,0.0,0.0,0.0,91.5,9.12,0.0,0.0
menuItem,All Day Menu,Salads,Marko Salad,,,Salads,[],false,8.0,15.25,15.25,122.0,0.0,0.0,0.0,122.0,12.16,0.0,0.0
"",All Day Menu,Pizza Specials,,,,,,,191.0,19.33,,3691.84,0.0,0.0,36.98,3691.84,367.79,0.0,0.0
menuItem,All Day Menu,Pizza Specials,House Pizza,,,Food,[],false,24.0,20.56,0.00,493.51,0.0,0.0,0.0,493.51,49.21,0.0,0.0
menuItem,All Day Menu,Pizza Specials,House Pizza,,,Pizza Specials,[],false,56.0,20.12,0.00,1126.44,0.0,0.0,18.49,1126.44,112.3,0.0,0.0
